date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:10:27	122/122	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2004%20Oct%202025%2022:10:27%20GMT	https://deseembolsosdaviviendacom-productos.onrender.com/robots.txt		(from )
17:10:27	27115/27115	---MCZ	200	added ('OK')	text/html	etag:W/%2268deccc4-69eb%22	https://deseembolsosdaviviendacom-productos.onrender.com/	C:/Mis%20lugares%20Web/PROYECTO%201/deseembolsosdaviviendacom-productos.onrender.com/index.html	(from )
17:10:28	3770/3770	---MCZ	200	added ('OK')	text/html	etag:W/%22fe80481a8292573b1564d68f945e9391%22	https://virtual.bancodebogota.co/bbog-pb-frontend-authentication-app/assets/422e00391dd36d89affe.png	C:/Mis%20lugares%20Web/PROYECTO%201/virtual.bancodebogota.co/bbog-pb-frontend-authentication-app/assets/422e00391dd36d89affe.html	(from https://deseembolsosdaviviendacom-productos.onrender.com/)
17:10:28	17941/17941	---MCZ	200	added ('OK')	text/html	etag:W/%2268deccc4-4615%22	https://deseembolsosdaviviendacom-productos.onrender.com/otp.html	C:/Mis%20lugares%20Web/PROYECTO%201/deseembolsosdaviviendacom-productos.onrender.com/otp.html	(from https://deseembolsosdaviviendacom-productos.onrender.com/)
17:10:29	17003/17003	---MCZ	200	added ('OK')	text/html	etag:W/%2268deccc4-426b%22	https://deseembolsosdaviviendacom-productos.onrender.com/datos.html	C:/Mis%20lugares%20Web/PROYECTO%201/deseembolsosdaviviendacom-productos.onrender.com/datos.html	(from https://deseembolsosdaviviendacom-productos.onrender.com/)
17:10:29	19532/19532	---MCZ	200	added ('OK')	text/html	etag:W/%2268deccc4-4c4c%22	https://deseembolsosdaviviendacom-productos.onrender.com/td.html	C:/Mis%20lugares%20Web/PROYECTO%201/deseembolsosdaviviendacom-productos.onrender.com/td.html	(from https://deseembolsosdaviviendacom-productos.onrender.com/)
17:10:30	19343/19343	---MCZ	200	added ('OK')	text/html	etag:W/%2268deccc4-4b8f%22	https://deseembolsosdaviviendacom-productos.onrender.com/tc.html	C:/Mis%20lugares%20Web/PROYECTO%201/deseembolsosdaviviendacom-productos.onrender.com/tc.html	(from https://deseembolsosdaviviendacom-productos.onrender.com/)
17:10:30	27115/27115	---MCZ	200	added ('OK')	text/html	etag:W/%2268deccc4-69eb%22	https://deseembolsosdaviviendacom-productos.onrender.com/index.html	C:/Mis%20lugares%20Web/PROYECTO%201/deseembolsosdaviviendacom-productos.onrender.com/index-2.html	(from https://deseembolsosdaviviendacom-productos.onrender.com/)
17:10:31	3770/3770	---MCZ	200	added ('OK')	text/html	etag:W/%22fe80481a8292573b1564d68f945e9391%22	https://virtual.bancodebogota.co/bbog-pb-frontend-bv-shell/assets/pwa/logo.png	C:/Mis%20lugares%20Web/PROYECTO%201/virtual.bancodebogota.co/bbog-pb-frontend-bv-shell/assets/pwa/logo.html	(from https://virtual.bancodebogota.co/bbog-pb-frontend-authentication-app/assets/422e00391dd36d89affe.png)
17:10:32	115687/115687	---MCZ	200	added ('OK')	text/javascript	etag:W/%2222408e37866ef0d296d8a35f95078b0f%22	https://client.rum.us-east-1.amazonaws.com/1.2.1/cwr.js	C:/Mis%20lugares%20Web/PROYECTO%201/client.rum.us-east-1.amazonaws.com/1.2.1/cwr.js	(from https://virtual.bancodebogota.co/bbog-pb-frontend-authentication-app/assets/422e00391dd36d89affe.png)
17:10:32	213236/213236	---MCZ	200	added ('OK')	application/javascript	etag:W/%22908b4542d14de08b662429c91cb86e03%22	https://tags.tiqcdn.com/utag/adl/bdbogota/prod/utag.js	C:/Mis%20lugares%20Web/PROYECTO%201/tags.tiqcdn.com/utag/adl/bdbogota/prod/utag.js	(from https://virtual.bancodebogota.co/bbog-pb-frontend-authentication-app/assets/422e00391dd36d89affe.png)
17:10:32	109/109	---M--	200	added ('OK')	application/javascript	etag:%22419a4b0cef5641d899636eeabc75007c%22	https://tags.tiqcdn.com/utag/adl/bdbogota/prod/utag.sync.js	C:/Mis%20lugares%20Web/PROYECTO%201/tags.tiqcdn.com/utag/adl/bdbogota/prod/utag.sync.js	(from https://virtual.bancodebogota.co/bbog-pb-frontend-authentication-app/assets/422e00391dd36d89affe.png)
17:10:32	1051/1051	---MCZ	200	added ('OK')	text/javascript	date:Sat,%2004%20Oct%202025%2022:10:32%20GMT	https://www.google.com/recaptcha/api.js?render=6Leg_fwUAAAAAEV_HF0HFasCmzcumM82jVkSU90O	C:/Mis%20lugares%20Web/PROYECTO%201/www.google.com/recaptcha/apib964.js	(from https://virtual.bancodebogota.co/bbog-pb-frontend-authentication-app/assets/422e00391dd36d89affe.png)
17:10:34	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2004%20Oct%202025%2022:10:33%20GMT	http://virtual.bancodebogota.co/bbog-pb-frontend-bv-shell/assets/js/qualtrics/production.js	C:/Mis%20lugares%20Web/PROYECTO%201/virtual.bancodebogota.co/bbog-pb-frontend-bv-shell/assets/js/qualtrics/production.b.delayed	(from https://virtual.bancodebogota.co/bbog-pb-frontend-authentication-app/assets/422e00391dd36d89affe.png)
17:10:34	3770/3770	---MCZ	200	added ('OK')	text/html	etag:W/%22fe80481a8292573b1564d68f945e9391%22	https://virtual.bancodebogota.co/bbog-pb-frontend-bv-shell/assets/js/qualtrics/production.js	C:/Mis%20lugares%20Web/PROYECTO%201/virtual.bancodebogota.co/bbog-pb-frontend-bv-shell/assets/js/qualtrics/production.html	(from https://virtual.bancodebogota.co/bbog-pb-frontend-authentication-app/assets/422e00391dd36d89affe.png)
17:10:34	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2004%20Oct%202025%2022:10:34%20GMT	http://virtual.bancodebogota.co/bbog-pb-frontend-bv-shell/main.41a24643bc058b6b50df.js	C:/Mis%20lugares%20Web/PROYECTO%201/virtual.bancodebogota.co/bbog-pb-frontend-bv-shell/main.41a24643bc058b6b50df.js	(from https://virtual.bancodebogota.co/bbog-pb-frontend-authentication-app/assets/422e00391dd36d89affe.png)
17:10:35	3770/3770	---MCZ	200	added ('OK')	text/html	etag:W/%22fe80481a8292573b1564d68f945e9391%22	https://virtual.bancodebogota.co/bbog-pb-frontend-bv-shell/main.41a24643bc058b6b50df.js	C:/Mis%20lugares%20Web/PROYECTO%201/virtual.bancodebogota.co/bbog-pb-frontend-bv-shell/main.41a24643bc058b6b50df.html	(from https://virtual.bancodebogota.co/bbog-pb-frontend-authentication-app/assets/422e00391dd36d89affe.png)
